white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
ZooTV,Cullarvega,1397,1685,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/LJc8LV3v,600+0,Normal
robadamas,rferrer,1686,1557,1-0,Slav Defense #2,D10,https://lichess.org/op9TRpSb,420+0,Normal
filipfico,TACHI88,1717,1465,1-0,Queen's Pawn Game: Levitsky Attack,D00,https://lichess.org/nMNQSiiI,360+0,Normal
Triceratops_2007,Zhgilmev,1580,1490,0-1,French Defense: Normal Variation,C00,https://lichess.org/lgjgTVW8,180+2,Normal
Marciobastos,RoronoaZoro26,1479,1537,1-0,Caro-Kann Defense,B10,https://lichess.org/eBV1ISoF,300+0,Normal
MannyTheKnight,galita,1604,1520,1-0,French Defense #2,C00,https://lichess.org/l9xBNnSm,60+1,Time forfeit
BiggKipp,Vmax,1603,1581,1-0,Queen's Pawn Game: Krause Variation,D02,https://lichess.org/X5p7OKuH,180+0,Normal
scarlo,sharin,1424,1482,0-1,Sicilian Defense: O'Kelly Variation,B28,https://lichess.org/YVt3bFKl,180+2,Normal
Pettenchess,Snowden,1470,1617,0-1,Nimzowitsch Defense,B00,https://lichess.org/wIJL0xxa,480+0,Normal
vasja2,Hemericus,1933,1971,1/2-1/2,Philidor Defense #2,C41,https://lichess.org/Dh1tFirR,60+0,Time forfeit
lobyno,PacMan1,1838,1673,0-1,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",B33,https://lichess.org/2nAH7eRs,300+0,Normal
lesia,Dinnei,1916,1636,1-0,Sicilian Defense: Loewenthal Variation,B32,https://lichess.org/YeMPK5yP,180+2,Time forfeit
Josemar,dappertutto,1807,1745,1-0,French Defense: Horwitz Attack,C00,https://lichess.org/cmrXjnVZ,300+0,Normal
t100022,irondragon,1675,1496,1-0,"Nimzowitsch Defense, Declined Variation",B00,https://lichess.org/urnp6QCj,300+3,Normal
tranzas,philbill,1748,1644,1-0,Pirc Defense #4,B07,https://lichess.org/kWKX0DJN,300+0,Normal
navash,mgtevt,1588,1657,1-0,Sicilian Defense,B20,https://lichess.org/9NEfpktK,180+0,Normal
denti,Jomagi,1728,1287,1-0,Scotch Game,C45,https://lichess.org/sNFSTwox,300+0,Normal
eugapop,MeteMates,1884,1833,1-0,Vienna Game,C27,https://lichess.org/zLTfj8H2,300+2,Normal
Natali6969,toskani,1844,1735,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/mEjri1Xh,600+0,Normal
Syas,cajohnm,1676,1653,0-1,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",C50,https://lichess.org/HlLEhxpg,300+10,Normal
notrobot,coronzon,1864,1730,1-0,Queen's Gambit Declined: Queen's Knight Variation,D31,https://lichess.org/ohftokR3,60+0,Time forfeit
sauvignon,chancy,1724,1751,0-1,Scandinavian Defense: Panov Transfer,B01,https://lichess.org/jJtVT9GZ,60+2,Normal
Brunomig,BlueSmoke,1489,1572,0-1,"Vienna Game: Stanley Variation, Three Knights Variation",C28,https://lichess.org/ignTjrq6,600+0,Normal
choty,theWeakForce,1530,1637,0-1,"French Defense: Advance Variation, Nimzowitsch System",C02,https://lichess.org/iiLxUFTo,900+5,Normal
elmarbaku,jpagroup,1631,1541,1-0,French Defense: Knight Variation,C00,https://lichess.org/9vPvu5c3,120+1,Normal
nobleBee,blackbamba,1791,1818,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/oQuboV5G,300+0,Time forfeit
