white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
Ezequielluis,eluno,1570,1658,1-0,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/jFHJ54N6,900+10,Normal,,,bullet,,,,,1640,71,1555,,,rapid,,,,,396,10,425
sciroff,Dragonhg,2155,1574,1-0,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line",B78,https://lichess.org/QhD9v20o,180+0,Normal,,,blitz,2002.0,2120.0,,,13659,1262,10868,,,blitz,,,,,1563,42,2753
methadone,restriction,1446,1374,0-1,Three Knights Opening,C46,https://lichess.org/3PctTBtT,600+0,Normal,,,bullet,1304.0,1496.0,1787.0,,21832,988,23177,,,blitz,,,,,960,65,1010
Kristensen,judgementknight,2133,1814,1-0,Englund Gambit Complex: Englund Gambit,A40,https://lichess.org/YBga4lec,900+15,Normal,,,unknown,,,,,0,0,0,,,rapid,,,,,397,48,457
CalcularLimitada,Thomas_J,1864,1765,1-0,King's Pawn Game: Nimzowitsch Defense,B00,https://lichess.org/EE8vD3VW,900+0,Time forfeit,,,rapid,,1693.0,1937.0,,2752,392,2571,,,rapid,,,,,1031,76,1365
Piper123,ROSARIOSUELDOS,1996,1755,1-0,Nimzo-Indian Defense: Ragozin Variation,E20,https://lichess.org/SicoiUck,480+0,Time forfeit,,,blitz,,1886.0,,,1376,183,1236,,,puzzle,,,1799.0,,835,56,1043
GIL180363,mojeabi,1870,1877,0-1,Pirc Defense #4,B07,https://lichess.org/kcADNXf1,240+0,Normal,,,blitz,,1750.0,,,23898,2535,31267,,,blitz,,,,,2796,317,3261
houra,jota3,1399,1484,0-1,"Queen's Gambit Accepted: Central Variation, Modern Defense",D20,https://lichess.org/jWc3OTHt,480+0,Time forfeit,,,rapid,,,,,646,56,766,,,puzzle,1463.0,1748.0,1954.0,,11814,667,12509
timoha60,roiz77,1752,1815,0-1,King's Gambit,C30,https://lichess.org/rOZ6Wro3,180+0,Time forfeit,,,blitz,,,,,8709,863,11231,,,unknown,,,,,0,0,0
PlanB-Amsterdam,DANIEL76,1769,1948,1-0,Philidor Defense #2,C41,https://lichess.org/poz4zWrS,600+0,Normal,,,puzzle,,,,,125,8,173,,,blitz,,1734.0,1801.0,1836.0,10803,1049,10841
