white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
tatttttt,ramongibarrar,1552,1137,1-0,"Ruy Lopez: Exchange Variation, Normal Variation",C69,https://lichess.org/268pCwKE,300+2,Normal
NglOmar233,oliro,1208,1182,0-1,Russian Game: Three Knights Game,C42,https://lichess.org/6N4cFRvk,900+5,Time forfeit
maylward,Gibby5150,1132,1073,1-0,Scotch Game,C45,https://lichess.org/cGIm7t9u,420+0,Normal
Kaoruko,daboforpres,1360,1353,0-1,Scotch Game,C44,https://lichess.org/QWQLDgR5,900+0,Normal
Crixio,darthvaderchessie,1390,1221,0-1,King's Knight Opening: Normal Variation,C44,https://lichess.org/KUrKwp2s,240+0,Normal
ferod,Domorolo,1463,1311,0-1,Bishop's Opening: Boi Variation,C20,https://lichess.org/GK9YUp3J,600+0,Normal
risk2Dupside,olgabuenosaires,1463,1310,1-0,Semi-Slav Defense: Main Line,D45,https://lichess.org/myWZe2bh,600+8,Normal
HeyJujube,Job19,1353,1293,1-0,Van't Kruijs Opening,A00,https://lichess.org/3wzcUAJ1,600+0,Normal
cocain3,vag4,1361,1269,0-1,Elephant Gambit,C40,https://lichess.org/GeikmE0M,1800+0,Normal
minouminou1965,Shirbabadi,1390,1171,1-0,French Defense: Knight Variation,C00,https://lichess.org/KapnYaIP,60+0,Time forfeit
dr4ke,Halkmonzod,1178,1223,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/ndgXAtYX,180+5,Normal
Hqadiri,Rotaro99,935,1752,1-0,French Defense: Henneberger Variation,C11,https://lichess.org/xckWExZL,300+2,Normal
edtardbloodthirsty,allthis,1316,1318,0-1,Slav Defense #2,D10,https://lichess.org/EdiTcWbk,300+0,Normal
zhigan-limon,Time_To_Relax,1239,1552,0-1,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/ei3ftJ7h,600+2,Normal
Lifeisgood2665,smarf,1367,1170,1-0,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,https://lichess.org/Aapbf6N2,300+0,Normal
hape,dknox06,1421,1256,1-0,Elephant Gambit: Paulsen Countergambit,C40,https://lichess.org/sLcfTFoU,900+0,Normal
sinkrafeas,LordFarsomin,1398,1288,0-1,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/8QmXMJVX,240+0,Normal
lazyranch,djoy,1177,1359,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/1NvSOfcq,300+7,Time forfeit
sisapibaik,akuputra,995,1379,0-1,Van't Kruijs Opening,A00,https://lichess.org/719kjz6P,420+0,Time forfeit
jamesbarney,mlauz,1228,1384,0-1,Four Knights Game,C46,https://lichess.org/tDqz9AJz,300+2,Normal
Nacho96,maksutov,1335,1449,0-1,Van't Kruijs Opening,A00,https://lichess.org/C5OV5XgY,600+2,Normal
murmanchess,Asddera,1293,1353,1-0,Queen's Pawn Game: Chigorin Variation,D01,https://lichess.org/vjj2qHqO,600+3,Normal
nhurwitz,deacal,1411,1359,1-0,Vienna Game,C27,https://lichess.org/tP5SKijB,300+0,Normal
mctiernan,dougsko,1278,1221,1/2-1/2,"English Opening: King's English Variation, Reversed Sicilian",A21,https://lichess.org/2TTe56Vn,600+5,Normal
Vahimaca,Cristizero,1317,1298,1-0,Van't Kruijs Opening,A00,https://lichess.org/yAVwatc4,120+20,Time forfeit
Georgesantosbrasil,feliracing,1391,1404,1-0,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/6GuTgT7X,30+0,Time forfeit
lemercierjb,saxy_sean,1172,962,1-0,Mikenas Defense,A40,https://lichess.org/ykjY2kJ4,480+0,Time forfeit
giloss,dounding,1230,1346,1-0,Philidor Defense,C41,https://lichess.org/S0alE54Y,600+0,Time forfeit
JAIROSANCHEZ,mountain4869,1316,1031,1-0,Queen's Pawn Game: Chigorin Variation,D02,https://lichess.org/2ulNM4g2,240+5,Time forfeit
Chengmingz,Ashmil,1321,1279,0-1,Four Knights Game: Scotch Variation,C47,https://lichess.org/vlrx3bdW,60+0,Time forfeit
integral1606,Grant1992,1203,1370,1-0,Queen's Pawn Game #3,D00,https://lichess.org/dRV742WY,1500+0,Normal
ggrom,CrapMove,1452,1303,1-0,Nimzo-Larsen Attack: Modern Variation #3,A01,https://lichess.org/W1TW767L,600+0,Normal
MartinezEmmanuel,HeraldTasuki0908,1366,1181,1-0,Ruy Lopez: Spanish Countergambit,C60,https://lichess.org/zNccxHeC,300+0,Normal
skailain279,gkamel,1043,1654,0-1,Queen's Pawn,A40,https://lichess.org/weKrq7wm,300+0,Time forfeit
askhatt,mykasper,1170,1276,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/ls8a1LVX,240+0,Normal
SLAVA010976,Racerguy,1361,1186,1-0,Bishop's Opening,C23,https://lichess.org/AjcvP6Li,600+0,Normal
donal3000,nebraxas,1126,1398,1-0,"Sicilian Defense: Closed Variation, Traditional",B25,https://lichess.org/4fp3mXes,300+0,Normal
